title ,texte,texte_sans_entites,texte.1,texte_lemmatisé,texte_keyword,texte_sans_entites_keyword,texte.1_keyword,texte_lemmatisé_keyword
Alexandrins. ,"
Je vis un foutriquet de je ne sais quelle esPèce qui râlait bien qu'autour de son turban
Il y eût de la tresse en place de ruban.
Il râlait ce jeune homme à l'allure insipide,
Au col démesuré, à l'haleine putride,
Parce qu'un citoyen qui paraissait majeur
Le heurtait, disait-il, si quelque voyageur
Se hissait haletant et poursuivi par l'heure
Espérant déjeuner en sa chaste demeure.
Il n'y eut point d'esclandre et le triste quidam
Courut vers une place et s'assit sottement. Un jour, dans l'autobus qui porte la lettre S,Comme je retournais direction rive gauche
De nouveau j'aperçus ce personnage moche
Accompagné d'un zèbre, imbécile dandy,
Qui disait : «ce bouton faut pas le mettre icy.»","
Je vis un foutriquet de je ne sais quelle esPèce qui râlait bien qu'autour de son turban
Il y eût de la tresse en place de ruban.
Il râlait ce jeune homme à l'allure insipide,
Au col démesuré, à l'haleine putride,
Parce qu'un citoyen qui paraissait majeur
Le heurtait, disait-il, si quelque voyageur
Se hissait haletant et poursuivi par l'heure
Espérant déjeuner en sa chaste demeure.
Il n'y eut point d'esclandre et le triste quidam
Courut vers une place et s'assit sottement. Un jour, dans l'autobus qui porte la lettre S,Comme je retournais direction rive gauche
De nouveau j'aperçus ce  moche
Accompagné d'un zèbre, imbécile dandy,
Qui disait : «ce bouton faut pas le mettre icy.»","
 vis foutriquet sais esPèce râlait bien autour turban 
 eût tresse place ruban . 
 râlait jeune homme allure insipide , 
 col démesuré , haleine putride , 
 citoyen paraissait majeur 
 heurtait , disait , voyageur 
 hissait haletant poursuivi heure 
 Espérant déjeuner chaste demeure . 
 eut point esclandre triste quidam 
 Courut place assit sottement . jour , autobus porte lettre S , retournais direction rive gauche 
 aperçus personnage moche 
 Accompagné zèbre , imbécile dandy , 
 disait : « bouton faut mettre . »","
 voir foutriquet savoir espèc râler bien autour turban 
 avoir tresse place ruban . 
 râler jeune homme allure insipide , 
 col démesuré , haleine putride , 
 citoyen paraître majeur 
 heurter , dire , voyageur 
 hisser haleter poursuivre heure 
 espérer déjeuner chaste demeure . 
 avoir point esclandre triste quidam 
 Courut place asseoir sottement . jour , autobus porte lettre s , retourner direction rive gauche 
 apercevoir personnage moche 
 accompagner zèbre , imbécile dandy , 
 dire : « bouton falloir mettre . »",jeune homme direction rive place lettre s triste quidam chaste demeure personnage esclandre point col,jeune homme lettre s place direction rive triste quidam chaste demeure esclandre point col courut,tresse place ruban courut place direction rive jeune homme lettre s accompagné zèbre triste quidam personnage jour autobus,tresse place ruban direction rive jeune homme lettre s triste quidam personnage haleine col zèbre jour
Polyptotes. ,"Je montai dans un autobus plein de contribuables qui donnaient des sous à un contribuable qui avait sur
son ventre de contribuable une petite boîte qui contribuait à permettre aux autres contribuables de
continuer leur trajet de contribuables. Je remarquai dans cet autobus un contribuable au long cou de
contribuable et dont la tête de contribuable supportait un chapeau mou de contribuable ceint d'une tresse
comme jamais n'en porta contribuable. Soudain le dit contribuable interpelle un contribuable de voisin en
lui reprochant amèrement de lui marcher exprès sur ses pieds de contribuable chaque fois que d'autres
contribuables montaient ou descendaient de l'autobus pour contribuables. Puis le contribuable irrité alla
s'asseoir à la place pour contribuable que venait de laisser libre un autre contribuable. Quelques heures
de contribuable plus tard, je l'aperçus dans la cour pour contribuables de Rome, en compagnie d'un
contribuable qui lui donnait des conseils d'élégance de contribuable.","Je montai dans un autobus plein de s qui donnaient des sous à un  qui avait sur
son ventre de  une petite boîte qui contribuait à permettre aux autres s de
continuer leur trajet de s. Je remarquai dans cet autobus un  au long cou de
 et dont la tête de  supportait un chapeau mou de  ceint d'une tresse
comme jamais n'en porta . Soudain le dit  interpelle un  de voisin en
lui reprochant amèrement de lui marcher exprès sur ses pieds de  chaque fois que d'autres
s montaient ou descendaient de l'autobus pour s. Puis le  irrité alla
s'asseoir à la place pour  que venait de laisser libre un autre . Quelques heures
de  plus tard, je l'aperçus dans la cour pour s de Rome, en compagnie d'un
 qui lui donnait des conseils d'élégance de .","montai autobus plein contribuables donnaient contribuable 
 ventre contribuable petite boîte contribuait permettre contribuables 
 continuer trajet contribuables . remarquai autobus contribuable long cou 
 contribuable tête contribuable supportait chapeau mou contribuable ceint tresse 
 jamais porta contribuable . Soudain contribuable interpelle contribuable voisin 
 reprochant amèrement marcher exprès pieds contribuable fois 
 contribuables montaient descendaient autobus contribuables . contribuable irrité alla 
 asseoir place contribuable venait libre contribuable . heures 
 contribuable tard , aperçus cour contribuables Rome , compagnie 
 contribuable donnait conseils élégance contribuable .","monter autobus plein contribuable donner contribuable 
 ventre contribuable petit boîte contribuer permettre contribuable 
 continuer trajet contribuable . remarquer autobus contribuable long cou 
 contribuable tête contribuable supporter chapeau mou contribuable ceindre tresse 
 jamais porter contribuable . soudain contribuable interpelle contribuable voisin 
 reprocher amèrement marcher exprès pied contribuable fois 
 contribuable monter descendre autobus contribuable . contribuable irrité aller 
 asseoir place contribuable venir libre contribuable . heure 
 contribuable tard , apercevoir cour contribuable Rome , compagnie 
 contribuable donner conseil élégance contribuable .",autres contribuables contribuables long cou autobus petite boîte tête chapeau compagnie ventre rome,autres s s autre autobus long cou petite boîte s. tête compagnie chapeau,contribuable long cou contribuable petite boîte contribuable tête contribuables rome libre contribuable plein contribuables contribuables remarquai autobus autobus conseils élégance,contribuable long cou contribuable petit boîte contribuable tête contribuable rome libre contribuable plein contribuable autobus trajet chapeau cour
Aphérèses ,"Tai obus yageur. Marquai ne me tait ble lui rafe tzit avec lon sé. Ere tre tre geur chant cher eds que tait
dait de. La seoir ne ce tait bre.
Tournant ve che, çus chait ge vec mi nait seils ance trant mier ton essus. ","Tai obus yageur. Marquai ne me tait ble lui rafe tzit avec lon sé. Ere tre tre geur chant cher eds que tait
dait de. La seoir ne ce tait bre.
Tournant ve che, çus chait ge vec mi nait seils ance  mier ton essus. ","obus yageur . Marquai tait ble rafe tzit . Ere geur chant cher eds tait 
 dait . seoir tait bre . 
 Tournant ve che , çus chait ge vec nait seils ance trant mier essus .","obu yageur . marquer taire bl raf tzit . ere geur chant cher ed taire 
 der . seoir taire br . 
 tournant ve che , çus cher ge vec ner seil ance trer mier essu .",tournant ve che geur chant cher eds seils ance ge obus yageur essus ere,tournant ve che geur chant cher eds seils ance ge obus yageur essus ere,geur chant cher eds tournant ve che ge vec ere marquai ance obus essus,cher ge vec ner seil ance bl raf tzit mier essu ve che ere yageur
Apocopes,"Je mon dans un aut plein de voya. Je remar un jeu hom dont le cou é sembla à ce de la gira et qui por un cha a un ga tres. Il se mit en col con un au voya, lui repro de lui mar sur les pi cha fois qu’il mon ou descen du mon. Puis il al s’as car u pla é li. Re ri gau, je l’aper qui mar en long et en lar a un a qui lui don des con d’élég en lui mon le pre bou de son pard.","Je mon dans un aut plein de voya. Je remar un jeu hom dont le cou é sembla à ce de la gira et qui por un cha a un ga tres. Il se mit en col con un au voya, lui repro de lui mar sur les pi cha fois qu’il mon ou descen du mon. Puis il al s’as car u pla é li. Re ri gau, je l’aper qui mar en long et en lar a un a qui lui don des con d’élég en lui mon le pre  de son pard.","aut plein voya . remar jeu hom cou é sembla gira cha . mit col con voya , repro mar pi cha descen . pla é li . Re gau , aper long lar don con élég pre bou pard .","aut plein voyer . remar jeu hom cou é sembler girer cha . mettre col con voyer , repro mar pi cha descen . pla é li . re gau , aper long lar don con élég pre bou pard .",pla é li pre bou pi cha cou é con as gau don élég cha,pla é li pi cha cou é con don as gau pre élég cha,pla é li hom cou é con élég long lar don pi cha descen pre bou pard re col jeu,pla é li con élég long lar don pi cha descen hom cou é pre bou pard gau col jeu
Syncopes,"Je mtai ds aubus plein dvyageurs. Je rarquai un jhomme au coublebleluirafe et au chapaltrés. Il se mit en
colcautre vyageur car il lui rechat de lui marpier. Puis il ocpa denue lbre.
En fant le mêmin en sinverse, je l’açus à Courome qui prait une lon d’égance àjet d’un bton.","Je mtai ds aubus plein dvyageurs. Je rarquai un jhomme au coublebleluirafe et au chapaltrés. Il se mit en
colcautre vyageur car il lui rechat de lui marpier. Puis il ocpa denue lbre.
En fant le mêmin en sinverse, je l’açus à  qui prait une lon d’égance àjet d’un bton.","mtai aubus plein dvyageurs . rarquai jhomme coublebleluirafe chapaltrés . mit 
 colcautre vyageur rechat marpier . ocpa denue lbre . 
 fant mêmin sinverse , açus Courome prait égance àjet bton .","mter aubu plein dvyageur . rarquer jhomme coublebleluirafe chapaltrer . mettre 
 colcautre vyageur rechat marpier . ocpa denue lbr . 
 fer mêmin sinverse , açu Courome prer égance àjet bton .",min() arg is an empty sequence,min() arg is an empty sequence,min() arg is an empty sequence,mêmin sinverse aubu plein dvyageur fer vyageur lbr courome ocpa égance
Moi je.,"Moi je comprends ça : un type qui s'acharne à vous marcher sur les pinglots, ça vous fout en rogne. Mais après avoir protesté aller s'asseoir comme un péteux, moi, je comprends pas ça. Moi j'ai vu ça l'autre jour sur la plate-forme arrière d'un autobus S. Moi je lui trouvais le cou un peu long à ce jeune homme et aussi bien rigolote cette espèce de tresse qu'il avait autour de son chapeau. Moi jamais j'oserais me promener avec un couvre-chef pareil. Mais c'est comme je vous le dis, après avoir gueulé contre un autre voyageur qui lui marchait sur les pieds, ce type est allé s'asseoir sans plus. Moi, je lui aurais foutu une baffe à ce salaud qui m'aurait marché sur les pieds. Il y a des choses curieuses dans la vie, moi je vous le dis, il n'y a que les montagnes qui ne se rencontrent pas. Deux heures plus tard, moi je rencontre de nouveau ce garçon. Moi, je l'aperçois devant la gare Saint-Lazare. Moi, je le vois en compagnie d'un copain de sa sorte qui lui disait, moi je l'ai entendu : «tu devrais remonter ce bouton-là.» Moi, je l'ai bien vu, il désignait le bouton supérieur.","Moi je comprends ça : un type qui s'acharne à vous marcher sur les pinglots, ça vous fout en rogne. Mais après avoir protesté aller s'asseoir comme un péteux, moi, je comprends pas ça. Moi j'ai vu ça l'autre jour sur la plate-forme arrière d'un autobus S. Moi je lui trouvais le cou un peu long à ce jeune homme et aussi bien rigolote cette espèce de tresse qu'il avait autour de son chapeau. Moi jamais j'oserais me promener avec un couvre-chef pareil. Mais c'est comme je vous le dis, après avoir gueulé contre un autre voyageur qui lui marchait sur les pieds, ce type est allé s'asseoir sans plus. Moi, je lui aurais foutu une baffe à ce salaud qui m'aurait marché sur les pieds. Il y a des choses curieuses dans la vie, moi je vous le dis, il n'y a que les montagnes qui ne se rencontrent pas. Deux heures plus tard, moi je rencontre de nouveau ce garçon. Moi, je l'aperçois devant la gare . Moi, je le vois en compagnie d'un copain de sa sorte qui lui disait, moi je l'ai entendu : «tu devrais remonter ce bouton-là.» Moi, je l'ai bien vu, il désignait le bouton supérieur.","comprends : type acharne marcher pinglots , fout rogne . protesté aller asseoir péteux , , comprends . jour plate - forme arrière autobus S. trouvais cou long jeune homme bien rigolote espèce tresse autour chapeau . jamais oserais promener couvre-chef pareil . dis , gueulé voyageur marchait pieds , type allé asseoir . , foutu baffe salaud marché pieds . choses curieuses vie , dis , montagnes rencontrent . heures tard , rencontre garçon . , aperçois gare Saint-Lazare . , vois compagnie copain sorte disait , entendu : « devrais remonter bouton . » , bien , désignait bouton supérieur .","comprendre : type acharne marcher pinglot , foutre rogne . protester aller asseoir péteux , , comprendre . jour plate - forme arrière autobus s. trouver cou long jeune homme bien rigolo espèce tresse autour chapeau . jamais oser promener couvre-chef pareil . dire , gueulé voyageur marcher pied , type aller asseoir . , foutre baffe salaud marcher pied . chose curieux vie , dire , montagne rencontrer . heure tard , rencontre garçon . , apercevoir gare Saint-Lazare . , voir compagnie copain sorte dire , entendre : « devoir remonter bouton . » , bien , désigner bouton supérieur .",autobus s. moi gare saint-lazare. moi autre voyageur autre jour jeune homme type pieds plate-forme arrière pinglots cou,autobus s. moi autre voyageur autre jour jeune homme type pieds plate-forme arrière pinglots cou compagnie,forme arrière autobus s. long jeune homme type curieuses vie pieds compagnie copain sorte rigolote espèce jour plate gare saint-lazare rencontre garçon,forme arrière autobus s. long jeune homme foutre baffe type foutre rogne curieux vie compagnie copain sorte gare saint-lazare jour plate rencontre garçon
Exclamations. ,"Tiens ! Midi ! temps de prendre l'autobus ! que de monde ! que de monde ! ce qu'on est serré ! marrant
!ce gars-là ! quelle trombine ! et quel cou ! soixante-quinze centimètres ! au moins ! et le galon ! le galon
!je n'avais pas vu ! le galon ! c'est le plus marant ! ça ! le galon ! autour de son chapeau !
Un galon ! marrant ! absolument marrant ! ça y est le voilà qui râle ! le type au galon ! contre un voisin !
qu'est-ce qu'il lui raconte ! l'autre ! lui aurait marché sur les pieds ! ils vont se fiche des gifles ! pour sür !
mais non ! mais si ! va h y ! va h y ! mords y l'œil ! fonce ! cogne ! mince alors ! mais non ! il se dégonfle
!le type ! au long cou ! au galon ! c'est sur une place vide qu'il fonce ! oui ! le gars ! eh bien ! vrai ! non ! je
ne me trompe pas ! c'est bien lui ! là-bas ! dans la Cour de Rome ! devant la gare Saint-Lazare ! qui se
balade en long et en large ! avec un autre type ! et qu'est-ce que l'autre lui raconte ! qu'il devrait ajouter un
bouton ! oui ! un bouton à son pardessus ! À son pardessus ! 
","Tiens  Midi  temps de prendre l'autobus  que de monde  que de monde  ce qu'on est serré  marrant
ce gars-là  quelle trombine  et quel cou  soixante-quinze centimètres  au moins  et le galon  le galon
je n'avais pas vu  le galon  c'est le plus marant  ça  le galon  autour de son chapeau 
Un galon  marrant  absolument marrant  ça y est le voilà qui râle  le type au galon  contre un voisin 
qu'est-ce qu'il lui raconte  l'autre  lui aurait marché sur les pieds  ils vont se fiche des gifles  pour sür 
mais non  mais si  va h y  va h y  mords y l'œil  fonce  cogne  mince alors  mais non  il se dégonfle
le type  au long cou  au galon  c'est sur une place vide qu'il fonce  oui  le gars  eh bien  vrai  non  je
ne me trompe pas  c'est bien lui  là-bas  dans la Cour de Rome  devant la gare Saint-Lazare  qui se
balade en long et en large  avec un autre type  et qu'est-ce que l'autre lui raconte  qu'il devrait ajouter un
bouton  oui  un bouton à son pardessus  À son pardessus  
","! Midi ! temps prendre autobus ! monde ! monde ! serré ! marrant 
 ! gars ! trombine ! cou ! centimètres ! ! galon ! galon 
 ! ! galon ! marant ! ! galon ! autour chapeau ! 
 galon ! marrant ! absolument marrant ! râle ! type galon ! voisin ! 
 raconte ! ! marché pieds ! fiche gifles ! sür ! 
 non ! ! h ! h ! mords œil ! fonce ! cogne ! mince ! non ! dégonfle 
 ! type ! long cou ! galon ! place vide fonce ! oui ! gars ! bien ! vrai ! non ! 
 trompe ! bien ! - ! Cour Rome ! gare Saint-Lazare ! 
 balade long large ! type ! raconte ! devrait ajouter 
 bouton ! oui ! bouton pardessus ! pardessus ! 
","! midi ! temps prendre autobus ! monde ! monde ! serrer ! marrant 
 ! gars ! trombine ! cou ! centimètre ! ! galon ! galon 
 ! ! galon ! marer ! ! galon ! autour chapeau ! 
 galon ! marrant ! absolument marrant ! râle ! type galon ! voisin ! 
 raconte ! ! marcher pied ! fiche gifle ! sür ! 
 non ! ! heure ! heure ! mordre œil ! fonce ! cogne ! mince ! non ! dégonfle 
 ! type ! long cou ! galon ! place vide foncer ! oui ! gars ! bien ! vrai ! non ! 
 trompe ! bien ! - ! cour Rome ! gare Saint-Lazare ! 
 balade long large ! type ! raconte ! devoir ajouter 
 bouton ! oui ! bouton pardessus ! pardessus ! 
",autre type long cou gare saint-lazare type galon gars cou oui place balade,autre type long cou gare saint-lazare type galon gars cou marrant oui place,type galon place vide fonce type long cou galon gare saint-lazare gars cour rome marché pieds fonce,type galon galon long cou type gare saint-lazare gars place vide cour rome fiche gifle cou
Alors. ,"Alors l'autobus est arrivé. Alors j'ai monté dedans. Alors j'ai vu un citoyen qui m'a saisi l'œil. Alors j'ai vu
son long cou et j'ai vu la tresse qu'il y avait autour de son chapeau. Alors il s'est mis à pester contre son
voisin qui lui marchait alors sur les pieds. Alors, il est allé s'asseoir.
Alors, plus tard, je l'ai revu Cour de Rome. Alors il était avec un copain.
Alors, il lui disait, le copain : tu devrais faire mettre un autre bouton à ton pardessus. Alors. 
","Alors l'autobus est arrivé. Alors j'ai monté dedans. Alors j'ai vu un citoyen qui m'a saisi l'œil. Alors j'ai vu
son long cou et j'ai vu la tresse qu'il y avait autour de son chapeau. Alors il s'est mis à pester contre son
voisin qui lui marchait alors sur les pieds. Alors, il est allé s'asseoir.
Alors, plus tard, je l'ai revu Cour de . Alors il était avec un copain.
Alors, il lui disait, le copain : tu devrais faire mettre un autre bouton à ton pardessus. Alors. 
","autobus arrivé . monté . citoyen saisi œil . 
 long cou tresse autour chapeau . mis pester 
 voisin marchait pieds . , allé asseoir . 
 , tard , revu Cour Rome . copain . 
 , disait , copain : devrais mettre bouton pardessus . . 
","autobus arriver . monter . citoyen saisir œil . 
 long cou tresse autour chapeau . mettre pester 
 voisin marcher pied . , aller asseoir . 
 , tard , revoir cour Rome . copain . 
 , dire , copain : devoir mettre bouton pardessus . . 
",long cou autre bouton copain œil tresse rome cour citoyen chapeau pieds,long cou œil tresse autre bouton copain pieds citoyen chapeau cour autobus,long cou cour rome copain chapeau citoyen œil pieds autobus bouton,long cou cour rome copain chapeau citoyen œil autobus bouton
"Ampoulé. 
","À l'heure où commencent à se gercer les doigts roses de l'aurore, je montai tel un dard rapide dans un
autobus à la puissance stature et aux yeux de vache de la ligne S au trajet sinueux. Je remarquai, avec la
précision et l'acuité de l'Indien sur le sentier de la guerre, la présence d'un jeune homme dont le col était
plus long que celui de la girafe au pied rapide, et dont le chapeau de feutre mou fendu s'ornait d'une
tresse, tel le héros d'un exercice de style. La funeste Discorde aux seins de suie vint de sa bouche
empestée par un néant de dentifrice, la Discorde, dis-je, vint souffler son virus malin entre ce jeune
homme au col de girafe et à la tresse autour du chapeau, et un voyageur à la mine indécise et farineuse.
Celui-là s'adressa en ces termes à celui-ci : «Dites-donc, vous, on dirait que vous le faites exprès de me
marcher sur les pieds !» Ayant dit ces mots, le jeune homme au col de girafe et à la tresse autour du
chapeau s'alla vite asseoir.
Plus tard, dans la Cour de Rome aux majestueuses proportions, j'aperçus de nouveau le jeune homme au
cou de girafe et à la tresse autour du chapeau, accompagné d'un camarade arbitre des élégances qui
proférait cette critique que je pus entendre de mon oreille agile, critique adressée au vêtement le plus
extérieur du jeune homme au col de girafe et à la tresse autour du chapeau : «tu devrais en diminuer
l'échancrure par l'addition ou l'exhaussement d'un bouton à la périphérie circulaire.»","À l'heure où commencent à se gercer les doigts roses de l'aurore, je montai tel un dard rapide dans un
autobus à la puissance stature et aux yeux de vache de la ligne S au trajet sinueux. Je remarquai, avec la
précision et l'acuité de l'Indien sur le sentier de la guerre, la présence d'un jeune homme dont le col était
plus long que celui de la  au pied rapide, et dont le chapeau de feutre mou fendu s'ornait d'une
tresse, tel le héros d'un exercice de style. La funeste Discorde aux seins de suie vint de sa bouche
empestée par un néant de dentifrice, la Discorde, dis-je, vint souffler son virus malin entre ce jeune
homme au col de  et à la tresse autour du chapeau, et un voyageur à la mine indécise et farineuse.
Celui-là s'adressa en ces termes à celui-ci : «Dites-donc, vous, on dirait que vous le faites exprès de me
marcher sur les pieds !» Ayant dit ces mots, le jeune homme au col de  et à la tresse autour du
chapeau s'alla vite asseoir.
Plus tard, dans la Cour de Rome aux majestueuses proportions, j'aperçus de nouveau le jeune homme au
cou de  et à la tresse autour du chapeau, accompagné d'un camarade arbitre des élégances qui
proférait cette critique que je pus entendre de mon oreille agile, critique adressée au vêtement le plus
extérieur du jeune homme au col de  et à la tresse autour du chapeau : «tu devrais en diminuer
l'échancrure par l'addition ou l'exhaussement d'un bouton à la périphérie circulaire.»","heure commencent gercer doigts roses aurore , montai dard rapide 
 autobus puissance stature yeux vache ligne S trajet sinueux . remarquai , 
 précision acuité Indien sentier guerre , présence jeune homme col 
 long girafe pied rapide , chapeau feutre mou fendu ornait 
 tresse , héros exercice style . funeste Discorde seins suie vint bouche 
 empestée néant dentifrice , Discorde , dis -je , vint souffler virus malin jeune 
 homme col girafe tresse autour chapeau , voyageur mine indécise farineuse . 
 adressa termes : « - , , dirait faites exprès 
 marcher pieds ! » mots , jeune homme col girafe tresse autour 
 chapeau alla vite asseoir . 
 tard , Cour Rome majestueuses proportions , aperçus jeune homme 
 cou girafe tresse autour chapeau , accompagné camarade arbitre élégances 
 proférait critique pus entendre oreille agile , critique adressée vêtement 
 extérieur jeune homme col girafe tresse autour chapeau : « devrais diminuer 
 échancrure addition exhaussement bouton périphérie circulaire . »","heure commencer gercer doigt rose aurore , monter dard rapide 
 autobus puissance statur oeil vache ligne s trajet sinueux . remarquer , 
 précision acuité Indien sentier guerre , présence jeune homme col 
 long girafe pied rapide , chapeau feutre mou fendu orner 
 tress , héros exercice style . funeste discorde sein suie venir bouche 
 empester néant dentifrice , discorde , dis -je , venir souffler virus malin jeune 
 homme col girafe tresse autour chapeau , voyageur mine indécis farineuse . 
 adresser terme : « - , , dire faire exprès 
 marcher pied ! » mot , jeune homme col girafe tresse autour 
 chapeau aller vite asseoir . 
 tard , cour Rome majestueux proportion , apercevoir jeune homme 
 cou girafe tresse autour chapeau , accompagner camarade arbitr élégance 
 proférer critique pus entendre oreille agile , critique adresser vêtement 
 extérieur jeune homme col girafe tresse autour chapeau : « devoir diminuer 
 échancrure addition exhaussement bouton périphérie circulaire . »",jeune homme funeste discorde discorde tresse critique girafe homme chapeau col style,jeune homme funeste discorde discorde critique tresse homme chapeau col style vêtement,extérieur jeune homme col girafe jeune homme col funeste discorde seins suie jeune homme col girafe long girafe stature yeux vache ligne s trajet cou girafe discorde chapeau,extérieur jeune homme col girafe jeune homme col jeune homme col girafe long girafe cou girafe chapeau tress homme funeste discorde
"Vulgaire. 
","L'était un peu plus dmidi quand j'ai pu monter dans l'esse. Jmonte donc, jpaye ma place comme de bien
entendu et voilàtipas qu'alors jremarque un zozo l'air pied, avec un cou qu'on aurait dit un télescope et
une sorte de ficelle autour du galurin. Je lregarde passque jlui trouve l'air pied quand le voilàtipas qu'ismet
à interpeller son voisin. Dites-donc, qu'il lui fait, vous pourriez pas faire attention, qu'il ajoute, on dirait, qu'il
pleurniche, quvous lfaites essprais, qu'i bafouille, deummarcher toutltemps sullé panards, qu'i dit. Làdessus, tout fier de lui, il va s'asseoir. Comme un pied.
Jrepasse plus tard Cour de Rome et jl'aperçois qui discute le bout de gras avec autre zozo de son
espèce. Dis-donc, qu'i lui faisait l'autre, tu dvrais, qu'i lui disait, mettre un ottbouton, qu'il ajoutait, à ton
pardingue, qu'i concluait. ","L'était un peu plus dmidi quand j'ai pu monter dans l'esse. Jmonte donc, jpaye ma place comme de bien
entendu et voilàtipas qu'alors jremarque un zozo l'air pied, avec un cou qu'on aurait dit un télescope et
une sorte de ficelle autour du galurin. Je lregarde passque jlui trouve l'air pied quand le voilàtipas qu'ismet
à interpeller son voisin. Dites-donc, qu'il lui fait, vous pourriez pas faire attention, qu'il ajoute, on dirait, qu'il
pleurniche, quvous lfaites essprais, qu'i bafouille, deummarcher toutltemps sullé panards, qu'i dit. Làdessus, tout fier de lui, il va s'asseoir. Comme un pied.
Jrepasse plus tard Cour de  et jl'aperçois qui discute le bout de gras avec autre zozo de son
espèce. Dis-donc, qu'i lui faisait l'autre, tu dvrais, qu'i lui disait, mettre un ottbouton, qu'il ajoutait, à ton
pardingue, qu'i concluait. ","dmidi monter esse . Jmonte , jpaye place bien 
 entendu voilàtipas jremarque zozo air pied , cou télescope 
 sorte ficelle autour galurin . lregarde passque jlui trouve air pied voilàtipas ismet 
 interpeller voisin . - , , pourriez faire attention , ajoute , dirait , 
 pleurniche , quvous lfaites essprais , bafouille , deummarcher toutltemps sullé panards , . Làdessus , fier , asseoir . pied . 
 Jrepasse tard Cour Rome jl' aperçois discute bout gras zozo 
 espèce . Dis - , faisait , dvrais , disait , mettre ottbouton , ajoutait , 
 pardingue , concluait .","dmidi monter esse . jmont , jpaye place bien 
 entendre voilàtipa jremarqu zozo air pied , cou télescope 
 sorte ficelle autour galurin . lregarde passque jlui trouve air pied voilàtipa ismet 
 interpeller voisin . - , , pouvoir faire attention , ajoute , dire , 
 pleurniche , quvou lfaite essprai , bafouille , deummarcher toutltemp sullé panard , . Làdessus , fier , asseoir . pied . 
 Jrepasse tard cour Rome jl' apercevoir discute bout gras zozo 
 espèce . Dis - , faire , dvrai , dire , mettre ottbouton , ajouter , 
 pardingue , conclure .",air pied voilàtipas autre zozo i bafouille zozo sullé panards galurin jlui place,i bafouille autre zozo air pied sullé panards voilàtipas zozo galurin jlui toutltemps,air pied voilàtipas ismet pied jpaye place cou télescope sorte sullé panards cour rome jlui voisin toutltemps,air pied voilàtipa ismet pied cou télescope quvou lfaite essprai sorte cour rome jlui voisin jpaye làdessus
