,Unnamed: 0,title,texte,texte_keyword,keyword_without_ent,keyword_without_stop_word,keywords_lematisations
10,10,Logo-rallye.,"(Dot, baïonnette, ennemi, chapelle, atmosphère, Bastille, correspondance.)  Un jour, je me trouvai sur la plate-forme d'un autobus qui devait sans doute faire partie de la dot de la fille
de M. Mariage, qui présida aux destinées de la T. C. R. P. Il y avait là un jeune homme assez ridicule, non
parce qu'il ne portait pas de baïonnette, mais parce qu'il avait l'air d'en porter une tout en n'en portant pas.
Tout d'un coup ce jeune homme s'attaque à son ennemi : un monsieur placé derrière lui. Il l'accuse
notamment de ne pas se comporter aussi poliment que dans une chapelle. Ayant ainsi tendu
l'atmosphère, le foutriquet va s'asseoir.
Deux heures plus tard, je le rencontre à deux ou trois kilomètres de la bastille avec un camarade qui lui
conseillait de faire ajouter un bouton à son pardessus, avis qu'il aurait très bien pu lui donner par
correspondance. 
",jeune homme$baïonnette$dot baïonnette ennemi chapelle atmosphère bastille correspondance$deux heures$trois kilomètres,jeune$homme$baïonnette$dot$baïonnette$ennemi$chapelle$atmosphère$correspondance$deux$heures$trois$kilomètres,jeune$homme$baïonnette$dot$baïonnette$ennemi$chapelle$atmosphère$bastille$correspondance$heures$kilomètres,baïonnette$ennemi$chapelle$atmosphère$correspondance$dot$jeune$homme$baïonnette$jeune$homme$ennemi$chapelle$atmosphère$heure$deux$trois$kilomètre$bastille$correspondance
11,11,Hésitations.,"Je ne sais pas très bien où ça se passait… dans une église, une poubelle, un charnier ? Un autobus peutêtre ? Il y avait là… mais qu'est-ce qu'il y avait donc là ? Des œufs, des tapis, des radis ? Des
squelettes? Oui, mais avec encore leur chair autour, et vivants. Je crois bien que c'est ça. Des gens dans
un autobus. Mais il y en avait un (ou deux ?) qui se faisait remarquer, je ne sais plus très bien par quoi.
Par sa mégalomanie ? Par son adiposité ? Par sa mélancolie ? Mieux… plus exactement… par sa
jeunesse ornée d'un long… nez ? menton ? pouce ? non : cou, et d'un chapeau étrange, étrange, étrange.
Il se prit de querelle, oui c'est ça, avec sans doute un autre voyageur (homme ou femme ? enfant ou
vieillard ?) Cela se termina, cela finit bien par se terminer d'une façon quelconque, probablement par la
fuite de l'un des deux adversaires.
Je crois bien que c'est le même personnage que je rencontrai, mais où ? Devant une église ? devant un
charnier ? devant une poubelle ? Avec un camarade qui devait lui parler de quelque chose, mais de quoi
? de quoi ? de quoi ? 
",long nez$chapeau étrange étrange étrange$autre voyageur homme$façon quelconque$deux adversaires,long$nez$chapeau$étrange$étrange$étrange$autre$voyageur$homme$façon$quelconque$deux$adversaires,long$nez$chapeau$étrange$étrange$étrange$voyageur$homme$adversaires,deux$long$nez$chapeau$étrange$étrange$étrange$autre$voyageur$homme$façon$quelconque$deux$adversaire
12,12,Précisions. ,"Dans un autobus de la ligne S, long de 10 mètres, large de 2,1, haut de 3,5, à 3 km. 600 de son point de
départ, alors qu'il était chargé de 48 personnes, à 12 h. 17, un individu de sexe masculin, âgé de 27 ans 3
mois 8 jours, taille de 1 m 72 et pesant 65 kg et portant sur la tête un chapeau haut de 17 centimètres
dont la calotte était entourée d'un ruban long de 35 centimètres, interpelle un homme âgé de 48 ans 4
mois 3 jours et de taille 1 m 68 et pesant 77 kg., au moyen de 14 mots dont l'énonciation dura 5 secondes
et qui faisaient allusion à des déplacements involontaires de 15 à 20 millimètres. Il va ensuite s'asseoir à
quelque 2 m. 10 de là.
118 minutes plus tard il se trouvait à 10 mètres de la gare Saint-Lazare, entrée banlieue, et se promenait
de long en large sur un trajet de 30 mètres avec un camarade âgé de 28 ans,taille 1 m. 70 et pesant 71
kg. qui lui conseilla en 15 mots de déplacer de 5 centimètres, dans la direction du zénith, un bouton de 3
centimètres de diamètre. ",ans$mètres large$sexe masculin âgé$jours taille$chapeau haut,ans$mètres$large$sexe$masculin$âgé$jours$taille$chapeau$haut,ans$mètres$large$sexe$masculin$âgé$jours$taille$chapeau$haut,mètre$large$haut$sexe$masculin$âgé$an$jour$taille$chapeau$haut$âgé$an$jour$taille$mètre$large$mètre$âgé$an$taille
13,13,Le côté subjectif.,"Je n'étais pas mécontent de ma vêture, ce jourd'hui. J'inaugurai un nouveau chapeau, assez coquin, et un
pardessus dont je pensai grand bien. Rencontré X devant la gare Saint-Lazare qui essaye de gâcher mon
plaisir en essayant de me démontrer que ce pardessus est trop échancré et que j'y devrais rajouter un
bouton supplémentaire. Il n'a tout de même pas osé s'attaquer à mon couvre-chef.
Un peu auparavant, rembarré de belle façon une sorte de goujat qui faisait exprès de me brutaliser
chaque fois qu'il passait du monde, à la descente ou à la montée. Cela se passait dans un de ces
immondes autobi qui s'emplissent de populus précisément aux heures où je dois consentir à les utiliser. ",nouveau chapeau$bouton supplémentaire$belle façon,nouveau$chapeau$bouton$supplémentaire$belle$façon,chapeau$bouton$supplémentaire$belle,nouveau$chapeau$bouton$supplémentaire$bel$façon
14,14,Autre subjectivité. ,"Il y avait aujourd'hui dans l'autobus à côté de moi, sur la plate-forme, un de ces morveux comme on n'en
fait guère, heureusement, sans ça je finirais par en tuer un. Celui-là, un gamin dans les vingt-six, trente
ans, m'irritait tout spécialement non pas tant à cause de son grand cou de dindon déplumé que par la
nature du ruban de son chapeau, ruban réduit à une sorte de ficelle de teinte aubergine. Ah ! le salaud !
Ce qu'il me dégoütait ! comme il y avait beaucoup de monde dans notre autobus à cette heure-là, je
profitais des bousculades qui ont lieu à la montée ou à la descente pour lui enfoncer mon coude entre les
côtelettes. Il finit par s'esbigner lâchement avant que je me décide à lui marcher un peu sur les arpions
pour lui faire les pieds. Je lui aurais dit aussi, afin de le vexer, qu'il manquait un bouton à son pardessus
trop échancré. ",aujourd hui$vingt-six trente ans$grand cou$chapeau ruban$teinte aubergine,aujourd$hui$vingt-six$trente$ans$grand$cou$chapeau$ruban$teinte$aubergine,aujourd$vingt-six$ans$grand$cou$chapeau$ruban$teinte$aubergine,vingt-six$trente$an$grand$cou$ruban$chapeau$ruban$teinte$aubergine
15,15,Récit. ,"Un jour vers midi du côté du parc Monceau, sur la plate-forme arrière d'un autobus à peu près complet de
la ligne S (aujourd'hui 84), j'aperçus un personnage au cou fort long qui portait un feutre mou entouré d'un
galon tressé au lieu de ruban. Cet individu interpella tout à coup son voisin en prétendant que celui-ci
faisait exprès de lui marcher sur les pieds chaque fois qu'il montait ou descendait des voyageurs. Il
abandonna d'ailleurs rapidement la discussion pour se jeter sur une place devenue libre.
Deux heures plus tard, je le revis devant la gare Saint-Lazare en grande conversation avec un ami qui lui
conseillait de diminuer l'échancrure de son pardessus en en faisant remonter le bouton supérieur par
quelque tailleur compétent. 
",parc monceau$plate-forme arrière$aujourd hui$cou fort long$feutre mou,monceau$plate-forme$arrière$aujourd$hui$cou$fort$long$feutre$mou,parc$monceau$plate-forme$arrière$aujourd$cou$fort$long$feutre$mou,parc$arrière$cou$fort$long$feutre$mou
16,16,Composition de mots. ,"Je plate-d'autobus-formais co-foultitudinairement dans un espace-temps lutécio-méridiennal et voisinais
avec un longicol tresseautourduchapeauté morveux.
Lequel dit à un quelconquanonyme : « Vous me bousculapparaissez. » Cela éjaculé, se placelibra
voracement. Dans une spatiotemporalité postérieure, je le revis qui placesaintlazarait avec un X qui lui
disait : tu devrais boutonsupplémenter ton pardessus. Et il pourquexpliquait la chose. 
",,nan,nan,
17,17,Négativités. ,"Ce n'était ni un bateau, ni un avion, mais un moyen de transports terrestre. Ce n'était ni le matin, ni le soir,
mais midi. Ce n'était ni un bébé, ni un vieillard, mais un homme jeune. Ce n'était ni un ruban, ni une
ficelle, mais du galon tressé. Ce n'était ni une procession, ni une bagarre, mais une bousculade.
Ce n'était ni un aimable, ni un méchant, mais un rageur. Ce n'était ni une vérité, ni un mensonge, mais un
prétexte. Ce n'était ni un debout, ni un gisant, mais un voulant-être assis.
Ce n'était ni la veille, ni le lendemain, mais le jour même. Ce n'était ni la gare du nord, ni la gare du p.-l.-
m. mais la gare Saint-Lazare. ce n'était ni un parent, ni un inconnu, mais un ami. Ce n'était ni une injure,
ni une moquerie, mais un conseil vestimentaire",transports terrestre$homme jeune$jour même,transports$terrestre$homme$jeune$jour$même,transports$terrestre$homme$jeune$jour,transport$terrestre$homme$jeune$jour$même
18,18,Animisme. ,"Un chapeau mou, brun, fendu, les bords baissés, la forme entourée d'une tresse de galon, un chapeau se
tenait parmi les autres, tressautant seulement des inégalités du sol transmises par les roues du véhicule
automobile qui le transportait, lui le chapeau. à chaque arrêt, les allées et venues des voyageurs lui
donnaient des mouvements latéraux parfois assez prononcés, ce qui finit par le fâcher, lui le chapeau. Il
exprima son ire par l'intermédiaire d'une voix humaine à lui rattachée par une masse de chair
structuralement disposée autour d'une quasi-sphère osseuse perforée de quelques trous qui se trouvait
sous lui, lui le chapeau. Puis il alla soudain s'asseoir, lui le chapeau.
Une ou deux heures plus tard je le revis se déplaçant à quelque un mètre soixante-six au-dessus du sol et
de long en large devant la gare Saint-Lazare, lui le chapeau. Un ami lui conseillait de faire ajouter un
bouton supplémentaire à son pardessus… un bouton supplémentaire… à son pardessus… lui dire ça… à
lui… lui le chapeau… ",bouton supplémentaire$chapeau mou brun$véhicule automobile$mouvements latéraux$voix humaine,bouton$supplémentaire$chapeau$mou$brun$véhicule$automobile$mouvements$latéraux$voix$humaine,bouton$supplémentaire$chapeau$mou$brun$véhicule$automobile$mouvements$latéraux$voix$humaine,chapeau$mou$brun$chapeau$véhicule$automobile$chapeau$mouvement$latéral$chapeau$voix$humain$chapeau$chapeau$chapeau$bouton$supplémentaire$bouton$supplémentaire$chapeau
19,19,Anagrammes.,"Dans l’S à une rhuee d’effluenca un pety dabs les stingvix nas, qui tavia un drang ouc maigre et un
peucha nigar d’un condro au lieu ed nubar, se pisaduit avec un treau gervayo qu’il cacusait de le
suboculer neovalotriment. Ayant ainsi nulripecher, il se ciréppite sur une cepal rilbe.
Une huree plus dart, je le conterne à la Cuor ed More, devant la rage Tsian-Zalare. Il étiat avec un
dacamare qui lui sidait : « Tu verdais fiare temter un toubon plusplémentiare à ton sessudrap. » Il lui
tromnai où (à l’échancrure). 
",lieu ed$cuor ed more,lieu$cuor$more,lieu$ed$cuor$ed$more,lieu$ed$ed
20,20,Distinguo,"Dans un autobus (qu'il ne faut pas prendre pour un autre obus), je vis (et pas avec mon vit) un
personnage (qui ne perd son âge) coiffé d'un feutre mou bleu (et non de foutre blême), feutre cerné d'un
fil tressé (et non de tril fessé).
Il disposait (et non dix posait) d'un long cou (et pas d'un loup con). Comme la foule se bousculait (non que
la boule se fousculât), un nouveau voyageur (non veau nouillageur) déplaça le susdit (et non suça ledit
plat). Cestuy râla (et non cette huître hala), mais voyant une place libre (et non ployant une vache ivre) s'y
précipita (et non si près s'y piqua).
Plus tard je l'aperçus (non pas gel à peine su) devant la gare Saint-Lazare (et non là ou l'hagard ceint le
hasard) qui parlait avec un copain (il n'écopait pas d'un pralin) au sujet d'un bouton de son manteau (qu'il
ne faut pas confondre avec le bout haut de son menton).",autre obus$feutre mou bleu$blême feutre$long cou$loup con,autre$obus$feutre$mou$bleu$blême$feutre$long$cou$loup$con,obus$feutre$mou$bleu$blême$feutre$long$cou$loup$con,autre$obu$feutre$mou$bleu$blême$feutr$long$cou$loup$con
21,21,Homéotéleutes. ,"Un jour de canicule sur un véhicule où je circule, gesticule un funambule au bulbe minuscule, à la
mandibule en virgule et au capitule ridicule. Un somnambule l'accule et l'annule, l'autre articule :
&odquo;crapule&cdquo;, mais dissimule ses scrupules, recule, capitule et va poser ailleurs son cul.
Une hule aprule, devant la gule Saint-Lazule je l'aperçule qui discule à propos de boutules, de boutules de
pardessule.",boutules$bulbe minuscule,bulbe$minuscule,boutules$bulbe$minuscule,bulbe$minuscule$boutule$boutule
22,22,Lettre officielle. ,"J'ai l'honneur de vous informer des faits suivants dont j'ai pu être le témoin aussi impartial qu'horrifié.
Ce jour même, aux environs de midi, je me trouvais sur la plate-forme d'un autobus qui remontait la rue
de Courcelles en direction de la place Champerret.
Ledit autobus était complet, plus que complet même, oserai-je dire, car le receveur avait pris en surcharge
plusieurs impétrants, sans raison valable et mû par une bonté d'âme exagérée qui le faisait passer outre
aux règlements et qui, par suite, frisait l'indulgence. à chaque arrêt, les allées et venues des voyageurs
descendants et montants ne manquaient pas de provoquer une certaine bousculade qui incita l'un de ces
voyageurs à protester, mais non sans timidité.
Je dois dire qu'il alla s'asseoir dès que la chose fut possible.
J'ajouterai à ce bref récit cet addendum : j'eus l'occasion d'apercevoir ce voyageur quelque temps après
en compagnie d'un personnage que je n'ai pu identifier. La conversation qu'ils échangeaient avec
animation semblait avoir trait à des questions de nature esthétique.
Étant données ces conditions, je vous prie de vouloir bien, monsieur, m'indiquer les conséquences que je
dois tirer de ces faits et l'attitude qu'ensuite il vous semblera bon que je prenne dans la conduite de ma
vie subséquente.
Dans l'attente de votre réponse, je vous assure, monsieur, de ma parfaite considération empressée au
moins. ",faits suivants$jour même$complet même$raison valable$voyageurs descendants,faits$suivants$jour$même$complet$même$raison$valable$voyageurs$descendants,faits$jour$complet$raison$valable$voyageurs$descendants,fait$suivant$jour$même$complet$complet$même$raison$valable$voyageur$descendant$voyageur$fait
23,23,Prière d'insérer. ,"Dans son nouveau roman, traité avec le brio qui lui est propre, le célèbre romancier X, à qui nous devons
déjà tant de chefs-d'oeuvre, s'est appliqué à ne mettre en scène que des personnages bien dessinés et
agissant dans une atmosphère compréhensible par tous, grands et petits. L'intrigue tourne donc autour de
la rencontre dans un autobus du héros de cette histoire et d'un personnage assez énigmatique qui se
querelle avec le premier venu. Dans l'épisode final, on voit ce mystérieux individu écoutant avec la plus
grande attention les conseils d'un ami, maître ès dandysme. Le tout donne une impression charmante que
le romancier X a burinée avec un rare bonheur",nouveau roman traité$célèbre romancier x$chefs-d oeuvre$atmosphère compréhensible$épisode final,nouveau$roman$traité$célèbre$romancier$x$chefs-d$oeuvre$atmosphère$compréhensible$épisode$final,roman$traité$célèbre$romancier$x$chefs-d$oeuvre$atmosphère$compréhensible$épisode$final,nouveau$roman$traiter$célèbre$romancier$oeuvre$atmosphère$compréhensible$épisode$final$romancier
24,24,Onomatopées.,"Sur la plate-forme, pla pla pla, dun autobus, teuff teuff teuff, de la ligne S (pour qui sont ces serpents qui
sifflent sur), il était environ midi, ding din don, ding din don, un ridicule éphèbe, proüt proüt, qui avait un de
ces couvre-chefs, phui, se tourna (virevolte, virevolte) soudain vers son voisin d'un air de colère, rreuh,
rreuh, et lui dit, hm hm : «vous faites exprès de me bousculer, monsieur.» Et toc. Là-dessus, vroutt, il se
jette sur une place libre et s'y assoit, boum.
Ce même jour, un peu plus tard, ding din don, ding din don, je le revis en compagnie d'un autre éphèbe,
proüt proüt, qui lui causait bouton de pardessus (brr, brr, brr, il ne faisait donc pas si chaud que ça…).
Et toc. ",din don$proüt$teuff$dun autobus$ridicule éphèbe,teuff$dun$autobus$ridicule$éphèbe,din$don$proüt$teuff$dun$autobus$ridicule$éphèbe,dun$autobus$teuff$teuff$teuff$din$don$din$don$ridicule$éphèbe$proüt$proüt$din$don$din$don$éphèbe$proüt$proüt
25,25,Analyse logique.,"Autobus.
Plate-forme.
Plate-forme d'autobus. C'est le lieu.
Midi.
Environ.
Environ midi. C'est le temps.
Voyageurs.
Querelle.
Une querelle de voyageurs. C'est l'action.
Homme jeune.
Chapeau. Long cou maigre.
Un jeune homme avec un chapeau et un galon tressé autour. C'est le personnage principal.
Quidam.
Un quidam.
Un quidam. C'est le personnage second.
Moi.
Moi.
Moi. C'est le tiers personnage, narrateur.
Mots.
Mots.
Mots. C'est ce qui fut dit.
Place libre.
Place occupée.
Une place libre ensuite occupée. C'est le résultat.
La gare Saint-Lazare.
Une heure plus tard.
Un ami.
Un bouton.
Autre phrase entendue. C'est la conclusion.
Conclusion logique.",place$place libre$homme jeune$long cou maigre$jeune homme,place$place$libre$homme$jeune$long$cou$maigre$jeune$homme,place$place$libre$homme$jeune$long$cou$maigre$jeune$homme,jeune$cou$maigre$jeune$homme$libre$place$libre
26,26,Insistance. ,"Un jour, vers midi, je montai dans un autobus presque complet de la ligne s.
Dans un autobus presque complet de la ligne S, il y avait un jeune homme assez ridicule. Je montais
dans le même autobus que lui, et ce jeune homme, monté avant moi dans ce même autobus de la ligne
S, presque complet, vers midi, portait sur la tête un chapeau que je trouvai bien ridicule, moi qui me
trouvais dans le même autobus que lui, sur la ligne S, un jour, vers midi.
Ce chapeau était entouré d'une sorte de galon tressé comme celui d'une fourragère, et le jeune homme
qui le portait, ce chapeau - et ce galon - se trouvait dans le même autobus que moi, un autobus presque
complet parce qu'il était midi ; et sous ce chapeau, dont le galon imitait une fourragère, s'allongeait un
visage suivi d'un long cou, d'un long, long cou. Ah ! qu'il était long le cou de ce jeune homme qui portait
un chapeau entouré d'une fourragère, sur un autobus de la ligne S, un jour vers midi.
La bousculade était grande dans l'autobus qui nous transportait vers le terminus de la ligne S, un jour vers
midi, moi et ce jeune homme qui plaçait un long cou sous un chapeau ridicule. Des heurts qui se
produisaient résulta soudain une protestation, protestation qui émana de ce jeune homme qui avait un si
long cou sur la plate-forme d'un autobus de la ligne S, un jour vers midi.
Il y eut une accusation formulée d'une voix mouillée de dignité blessée, parce que sur la plate-forme d'un
autobus S, un jeune homme avait un chapeau muni d'une fourragère tout autour, et un long cou ; il y eut
aussi une place vide tout à coup dans cet autobus de la ligne S presque complet parce qu'il était midi,
place qu'occupa bientôt le jeune homme au long cou et au chapeau ridicule, place qu'il convoitait parce
qu'il ne voulait plus se faire bousculer sur cette plate-forme d'autobus, un jour, vers midi.
Deux heures plus tard, je le revis devant la gare Saint-Lazare, ce jeune homme que j'avais remarqué sur
la plate-forme d'un autobus de la ligne S, ce jour même, vers midi. Il était avec un compagnon de son
acabit qui lui donnait un conseil relatif à certain bouton de son pardessus. L'autre l'écoutait attentivement.
L'autre, c'est ce jeune homme qui avait une fourragère autour de son chapeau, et que je vis sur la plateforme d'un autobus de la ligne S, presque complet, un jour, vers midi. ",jeune homme$long cou$même autobus$place$long long cou,jeune$homme$long$cou$même$autobus$place$long$long$cou,jeune$homme$long$cou$autobus$place$long$long$cou,autobus$autobus$jeune$homme$même$autobus$jeune$homme$même$autobus$même$autobus$jeune$homme$même$autobus$autobus$long$cou$long$long$cou$long$cou$jeune$homme$autobus$autobus$jeune$homme$long$cou$jeune$homme$long$cou$autobus$autobus$jeune$homme$long$cou$place$autobus$place$jeune$homme$long$cou$place$autobus$jeune$homme$autobus$même$jeune$homme$autobus
27,27,Ignorance.,"Moi, je ne sais pas ce qu'on me veut. Oui, j'ai pris l'S vers midi. Il y avait du monde ? Bien sür, à cette
heure-là. Un jeune homme avec un chapeau mou ?
C'est bien possible. Moi, je n'examine pas les gens sous le nez. Je m'en fous.
Une espèce de galon tressé ? Autour du chapeau ? Je veux bien que ça soit une curiosité, mais moi, ça
ne me frappe pas autrement. Un galon tressé… Il s'aurait querellé avec un autre monsieur ? C'est des
choses qu'arrivent.
Et ensuite je l'aurais de nouveau revu une heure ou deux plus tard ? Pourquoi pas ? Il y a des choses
encore plus curieuses dans la vie. Ainsi, je me souviens que mon père me racontait souvent que… 
",jeune homme$chapeau mou$autre monsieur,jeune$homme$chapeau$mou$autre$monsieur,jeune$homme$chapeau$mou$monsieur,jeune$homme$chapeau$mou$chapeau$autre$Monsieur
